Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Bikaner,T1317,2025-10-06,3,-88,Low,0,Routine monitoring
Bhiwandi,T0351,2023-10-05,6,-69,Low,2,Normal operation
Malegaon,T0329,2025-07-31,3,-71,Low,0,Stable network
Thane,T1031,2024-12-15,7,-87,Low,1,Low traffic
Meerut,T1009,2023-08-16,12,-90,Low,5,Temporary interference
Solapur,T0221,2024-02-12,13,-88,Medium,3,Weather impact
Mumbai,T0810,2024-02-28,7,-74,Low,3,Normal operation
Gulbarga,T0421,2025-04-21,5,-91,Medium,0,Stable network
Udaipur,T0979,2023-01-19,10,-105,Medium,1,Stable network
Hyderabad,T1418,2024-03-01,26,-87,High,9,Backhaul issue
Mumbai,T1109,2024-03-26,10,-115,Medium,1,Normal operation
Bhopal,T0530,2024-05-26,10,-98,Medium,0,Routine monitoring
Chandigarh,T0028,2024-02-26,9,-61,Low,5,Normal operation
Mysuru,T0903,2024-07-26,25,-70,High,10,Weather impact
Kota,T1374,2025-07-21,2,-73,Low,3,Low traffic
Ludhiana,T0816,2024-08-06,7,-96,Low,0,Routine monitoring
Bhubaneswar,T1416,2025-05-04,15,-105,Medium,2,Moderate congestion
Kolhapur,T0623,2023-05-22,9,-112,Low,1,Routine monitoring
Kalyan-Dombivli,T0682,2023-05-17,16,-109,Medium,2,Weather impact
Salem,T1352,2024-10-09,28,-111,High,6,Backhaul issue
Sangli,T1250,2024-03-26,1,-64,Low,1,Low traffic
Gulbarga,T0901,2023-03-22,9,-91,Low,2,Normal operation
Guwahati,T0275,2023-08-27,10,-101,Low,3,Stable network
Lucknow,T0287,2023-02-15,10,-111,Medium,0,Routine monitoring
Jammu,T1203,2025-03-26,11,-72,Medium,2,Temporary interference
Ajmer,T0623,2024-05-02,5,-112,Low,1,Routine monitoring
Gurugram,T0773,2025-05-22,7,-79,Low,3,Routine monitoring
Lucknow,T0706,2023-04-24,8,-107,Low,3,Routine monitoring
Tiruchirappalli,T0251,2024-10-21,23,-86,High,6,Weather impact
Kalyan-Dombivli,T0017,2025-10-17,8,-110,Low,4,Normal operation
Prayagraj,T0374,2024-02-04,3,-78,Low,3,Routine monitoring
Amravati,T1035,2025-07-11,18,-65,High,6,Weather impact
Firozabad,T1124,2025-08-14,7,-68,Medium,0,Normal operation
Kalyan-Dombivli,T0540,2025-05-31,4,-106,Low,1,Normal operation
Bhubaneswar,T0769,2024-05-18,7,-65,Low,3,Routine monitoring
Aligarh,T0216,2025-01-14,4,-70,Low,4,Low traffic
Vijayawada,T0177,2025-12-03,13,-82,Medium,2,Moderate congestion
Visakhapatnam,T0771,2024-01-24,11,-99,Medium,1,Temporary interference
Salem,T1128,2023-10-30,10,-88,Medium,0,Stable network
Asansol,T1383,2023-09-18,7,-105,Low,2,Low traffic
Kalyan-Dombivli,T0513,2025-05-08,7,-69,Low,4,Low traffic
Varanasi,T0757,2024-04-29,25,-73,High,8,Moderate congestion
Udaipur,T0804,2024-01-25,14,-109,Medium,0,Moderate congestion
Dehradun,T1321,2025-01-08,13,-94,Medium,3,Weather impact
Kanpur,T0697,2024-02-01,26,-62,High,11,Network optimization required
Mysuru,T0127,2023-09-11,16,-114,Medium,2,Handoff instability
Ludhiana,T0356,2025-04-20,13,-112,Medium,0,Weather impact
Nashik,T0320,2023-10-26,0,-62,Low,1,Normal operation
Madurai,T0941,2025-08-20,8,-73,Low,4,Low traffic
Pune,T1218,2023-10-28,10,-102,Medium,2,Stable network
Faridabad,T0070,2025-07-13,0,-64,Low,1,Low traffic
Patna,T0387,2024-05-24,0,-71,Low,0,Low traffic
Jalandhar,T1032,2024-06-24,6,-97,Low,4,Stable network
Pune,T1489,2023-09-29,4,-69,Medium,0,Normal operation
Ludhiana,T0374,2023-08-03,17,-79,High,2,Handoff instability
Ujjain,T0243,2023-06-07,21,-87,High,7,Temporary interference
Agra,T0743,2025-11-12,21,-68,High,4,Moderate congestion
Bhiwandi,T0670,2025-07-09,33,-103,High,12,Fiber outage
Firozabad,T1035,2023-05-12,6,-82,Low,1,Routine monitoring
Solapur,T0763,2024-02-04,12,-64,High,2,Moderate congestion
Pimpri-Chinchwad,T1453,2025-08-01,1,-81,Low,0,Stable network
Guwahati,T1015,2023-04-10,13,-69,Medium,4,Moderate congestion
Kanpur,T0101,2025-02-21,9,-78,Low,3,Low traffic
Hyderabad,T0084,2024-12-21,7,-98,Low,2,Routine monitoring
Erode,T0171,2024-07-23,13,-104,Low,4,Weather impact
Amritsar,T0523,2024-04-30,8,-106,Low,0,Low traffic
Faridabad,T1084,2023-03-25,3,-60,Low,3,Stable network
Surat,T1335,2023-11-30,27,-109,High,5,Peak hour congestion
Guntur,T0415,2024-12-06,0,-73,Low,0,Normal operation
Bhiwandi,T1381,2023-02-13,11,-84,Medium,2,Temporary interference
Durgapur,T0871,2025-05-03,9,-75,Medium,0,Routine monitoring
Gwalior,T1093,2025-02-08,10,-78,Low,5,Routine monitoring
Bhopal,T0132,2025-03-12,8,-110,Low,1,Low traffic
Kochi,T0857,2025-04-24,6,-85,Low,1,Routine monitoring
Erode,T0914,2024-06-24,12,-99,Medium,2,Moderate congestion
Jammu,T0756,2023-02-27,5,-70,Medium,1,Stable network
Bhavnagar,T1056,2023-05-20,5,-98,Low,3,Normal operation
Nellore,T0797,2023-08-14,25,-69,High,7,Weather impact
Ghaziabad,T0139,2025-10-10,30,-102,High,10,Peak hour congestion
Vijayawada,T1273,2024-11-24,8,-111,Low,0,Routine monitoring
Amritsar,T1206,2025-10-20,24,-93,High,8,Temporary interference
Raipur,T0569,2024-10-22,13,-113,Medium,1,Temporary interference
Ahmedabad,T0475,2023-02-12,7,-86,Low,1,Low traffic
Rourkela,T0747,2025-09-28,12,-93,Low,5,Weather impact
Bareilly,T0500,2024-02-22,11,-65,Medium,4,Temporary interference
Jamnagar,T1390,2023-01-14,21,-72,High,5,Weather impact
Bhavnagar,T0382,2025-11-09,10,-68,Medium,1,Low traffic
Amritsar,T1496,2024-06-27,8,-74,Low,3,Stable network
Jamshedpur,T0696,2025-12-14,12,-111,Low,4,Weather impact
Nanded,T0139,2025-10-21,21,-63,High,8,Temporary interference
Chandigarh,T0273,2025-06-10,9,-87,Medium,0,Normal operation
Thane,T0432,2024-05-25,6,-87,Medium,0,Normal operation
Ulhasnagar,T0278,2024-03-17,1,-61,Low,0,Routine monitoring
Kota,T0235,2023-12-30,1,-85,Low,1,Stable network
Aurangabad,T0970,2025-10-01,11,-111,Low,2,Handoff instability
Gurugram,T0993,2024-09-16,2,-71,Low,0,Normal operation
Jabalpur,T0216,2024-02-04,13,-111,Medium,2,Moderate congestion
Ulhasnagar,T0049,2024-07-12,11,-100,Low,3,Weather impact
Jodhpur,T0595,2023-11-13,26,-109,High,9,Peak hour congestion
Lucknow,T1373,2023-04-06,22,-79,High,5,Handoff instability
Madurai,T0814,2024-02-23,6,-94,Low,1,Normal operation
Kochi,T0449,2023-12-15,5,-67,Medium,0,Normal operation
Thane,T0456,2025-10-31,5,-79,Medium,1,Normal operation
Guwahati,T1044,2025-04-15,10,-106,Medium,1,Normal operation
Amravati,T1326,2024-08-21,5,-108,Low,0,Routine monitoring
Kolhapur,T0501,2025-09-24,8,-77,Medium,0,Low traffic
Kochi,T0228,2025-09-24,7,-86,Low,3,Low traffic
Indore,T1008,2023-08-17,14,-83,Medium,3,Weather impact
Hyderabad,T0356,2023-03-02,27,-114,High,6,Peak hour congestion
Vadodara,T0950,2024-05-07,4,-96,Low,2,Low traffic
Patna,T0021,2025-07-17,8,-104,Low,4,Low traffic
Chandigarh,T1043,2024-01-31,7,-66,Medium,4,Routine monitoring
Srinagar,T0683,2023-12-27,17,-67,High,5,Handoff instability
Kolkata,T0035,2023-01-21,15,-110,Medium,3,Moderate congestion
Ghaziabad,T0802,2024-12-15,28,-92,High,10,Network optimization required
Jaipur,T1205,2024-02-22,6,-68,Low,4,Normal operation
Jamnagar,T0626,2024-04-19,4,-111,Low,1,Routine monitoring
Navi Mumbai,T0457,2024-07-12,31,-75,High,11,Weak signal area
Amravati,T0741,2025-10-31,0,-66,Low,1,Low traffic
Ranchi,T1423,2025-04-29,9,-108,Low,0,Low traffic
Ludhiana,T0160,2024-12-31,14,-88,Medium,4,Handoff instability
Aurangabad,T0332,2024-10-05,26,-94,High,10,Peak hour congestion
Dhanbad,T0811,2025-05-08,15,-112,Medium,2,Moderate congestion
Agra,T0352,2025-03-19,6,-91,Low,3,Low traffic
Ghaziabad,T0769,2024-02-29,2,-63,Low,2,Routine monitoring
Amritsar,T0193,2024-11-30,25,-78,High,11,Weather impact
Dhanbad,T1039,2024-09-07,10,-98,Medium,3,Routine monitoring
Bhopal,T1259,2024-03-02,14,-112,Medium,1,Temporary interference
Nashik,T0492,2023-01-08,4,-76,Low,0,Normal operation
Navi Mumbai,T0193,2023-07-15,11,-110,Low,4,Weather impact
Mumbai,T1370,2025-05-29,8,-79,Medium,0,Routine monitoring
Ghaziabad,T0941,2024-07-18,9,-106,Medium,0,Normal operation
Jamshedpur,T0419,2023-02-07,5,-101,Low,0,Stable network
Bhilai,T1450,2023-09-12,2,-73,Low,2,Stable network
Ulhasnagar,T0102,2025-10-23,24,-96,High,5,Moderate congestion
Bengaluru,T0287,2023-01-25,28,-108,High,7,Fiber outage
Bhiwandi,T1019,2025-06-02,11,-95,Low,4,Handoff instability
Aligarh,T0371,2025-09-29,0,-88,Low,0,Stable network
Jaipur,T0107,2025-09-15,2,-85,Low,0,Routine monitoring
Jhansi,T0498,2025-07-26,4,-79,Low,2,Stable network
Dhanbad,T0501,2023-05-05,1,-88,Low,0,Normal operation
Tirunelveli,T0463,2023-03-31,6,-114,Low,2,Routine monitoring
Sangli,T1220,2023-04-10,8,-88,Low,2,Stable network
Patna,T0616,2023-03-20,17,-74,High,5,Weather impact
Kolhapur,T0063,2025-03-03,5,-63,Low,5,Low traffic
Delhi,T1240,2023-08-14,20,-77,High,3,Moderate congestion
Guwahati,T0738,2025-10-16,11,-80,Medium,2,Weather impact
Patna,T1093,2024-08-22,7,-95,Low,2,Normal operation
Gorakhpur,T1073,2025-01-14,26,-109,High,5,Network optimization required
Vadodara,T0990,2024-07-01,10,-83,Medium,3,Routine monitoring
Gorakhpur,T0821,2024-04-11,2,-71,Low,1,Routine monitoring
Kochi,T1106,2024-02-03,11,-86,Low,5,Weather impact
Warangal,T1389,2024-01-13,0,-78,Low,1,Routine monitoring
Kanpur,T0499,2025-01-10,2,-60,Low,0,Low traffic
Tiruppur,T1284,2023-12-27,22,-107,High,5,Weather impact
Prayagraj,T0601,2024-10-14,0,-60,Low,0,Low traffic
Ambattur,T0988,2025-06-03,9,-77,Medium,0,Low traffic
Amritsar,T1153,2023-12-13,18,-104,Medium,4,Moderate congestion
Loni,T0332,2024-08-03,8,-107,Low,0,Routine monitoring
Bengaluru,T0651,2025-03-14,4,-65,Low,2,Routine monitoring
Cuttack,T0256,2023-12-10,18,-74,High,5,Moderate congestion
Nagpur,T0902,2025-01-15,9,-71,Medium,0,Low traffic
Dhanbad,T1102,2025-08-03,6,-73,Medium,1,Routine monitoring
Visakhapatnam,T0291,2025-02-23,6,-87,Medium,1,Routine monitoring
Faridabad,T0836,2023-08-31,15,-95,Medium,3,Temporary interference
Rajkot,T0094,2023-09-03,34,-111,High,10,Peak hour congestion
Navi Mumbai,T0717,2024-05-14,15,-89,Medium,5,Handoff instability
Asansol,T0647,2025-05-11,2,-87,Low,0,Stable network
Bhubaneswar,T0336,2024-04-30,17,-84,High,4,Moderate congestion
Asansol,T0631,2023-04-14,4,-83,Medium,0,Stable network
Faridabad,T0497,2023-07-13,19,-76,High,4,Temporary interference
Jamnagar,T1265,2025-06-23,11,-98,Low,3,Moderate congestion
Jamshedpur,T0988,2024-04-05,5,-72,Low,5,Stable network
Amritsar,T0409,2024-07-15,15,-68,Medium,6,Handoff instability
Loni,T1390,2023-07-16,6,-98,Low,0,Stable network
Ambattur,T0700,2025-06-27,21,-68,High,6,Moderate congestion
Tiruppur,T0517,2023-07-20,7,-113,Low,1,Stable network
Kalyan-Dombivli,T0550,2023-02-28,5,-93,Low,2,Routine monitoring
Bhubaneswar,T1209,2023-11-25,25,-108,High,8,Handoff instability
Nanded,T0083,2024-05-05,2,-92,Low,1,Stable network
Surat,T1277,2025-03-26,9,-77,Medium,1,Low traffic
Visakhapatnam,T0086,2025-09-25,25,-95,High,7,Moderate congestion
Amravati,T0868,2023-11-08,16,-84,Medium,5,Moderate congestion
Warangal,T0188,2024-03-11,0,-63,Low,1,Stable network
Gurugram,T1145,2023-08-14,17,-110,Medium,3,Weather impact
Dehradun,T0815,2023-05-03,8,-69,Low,3,Normal operation
Udaipur,T0807,2024-12-05,16,-100,Medium,4,Handoff instability
Kochi,T1199,2023-11-17,25,-95,High,8,Temporary interference
Kolkata,T0449,2024-03-24,13,-110,Medium,2,Moderate congestion
Akola,T0999,2025-12-09,23,-87,High,8,Handoff instability
Solapur,T0312,2024-03-06,22,-101,High,6,Weather impact
Malegaon,T0631,2024-07-05,3,-73,Low,1,Routine monitoring
Tiruppur,T0538,2023-11-10,8,-96,Medium,0,Stable network
Faridabad,T1058,2024-05-12,10,-77,Medium,2,Normal operation
Jhansi,T1475,2023-02-22,5,-79,Medium,0,Routine monitoring
Pune,T0721,2023-03-21,11,-77,Medium,3,Moderate congestion
Nanded,T0500,2024-02-28,15,-97,Medium,2,Moderate congestion
Rourkela,T0433,2024-08-02,12,-66,Medium,5,Weather impact
Saharanpur,T1144,2023-05-10,17,-70,High,5,Handoff instability
Ujjain,T1391,2025-09-25,16,-114,Medium,2,Weather impact
Amritsar,T1346,2025-04-04,25,-98,High,9,Temporary interference
Amravati,T0594,2025-04-06,5,-79,Low,1,Normal operation
Kolhapur,T1445,2023-09-23,3,-82,Low,0,Normal operation
Solapur,T1116,2023-11-17,6,-115,Low,0,Routine monitoring
Aurangabad,T0723,2025-02-13,11,-109,Medium,0,Handoff instability
Hubli-Dharwad,T0687,2024-03-23,17,-75,High,3,Weather impact
Bhilai,T0789,2023-02-03,6,-77,Low,1,Routine monitoring
Erode,T0786,2025-09-13,15,-85,Medium,4,Handoff instability
Udaipur,T0799,2025-11-21,10,-89,Medium,0,Low traffic
Loni,T1482,2024-09-08,13,-93,Medium,2,Moderate congestion
Bikaner,T1133,2025-11-14,8,-97,Medium,0,Stable network
Jabalpur,T0092,2023-06-17,8,-110,Low,2,Stable network
Ahmedabad,T1500,2025-11-12,7,-66,Low,3,Normal operation
Bhilai,T0245,2023-04-17,8,-73,Medium,4,Low traffic
Ajmer,T0860,2024-11-08,24,-90,High,6,Weather impact
Salem,T0923,2024-03-14,4,-111,Low,0,Normal operation
Noida,T0448,2025-11-09,23,-87,High,6,Weather impact
Bhavnagar,T0597,2025-10-29,2,-83,Low,1,Stable network
Mumbai,T1057,2025-11-11,8,-111,Low,0,Stable network
Agra,T0839,2025-07-06,13,-109,Low,3,Handoff instability
Cuttack,T0104,2023-07-30,14,-115,Medium,0,Handoff instability
Pune,T0994,2024-01-19,9,-61,Medium,1,Stable network
Srinagar,T0864,2023-07-08,23,-86,High,8,Moderate congestion
Faridabad,T0885,2025-04-07,33,-105,High,14,Weak signal area
Kolhapur,T1037,2025-12-03,8,-92,Low,4,Normal operation
Rajkot,T1491,2024-04-18,5,-99,Low,3,Routine monitoring
Bengaluru,T0364,2025-05-29,27,-112,High,8,Peak hour congestion
Sangli,T1388,2024-08-17,3,-94,Low,1,Low traffic
Durgapur,T0118,2024-11-19,18,-101,High,2,Handoff instability
Dehradun,T0403,2024-04-14,10,-100,Medium,0,Routine monitoring
Ranchi,T0417,2023-11-29,4,-85,Low,0,Stable network
Srinagar,T0103,2025-05-02,3,-78,Low,1,Stable network
Ambattur,T1010,2024-07-03,19,-110,Medium,5,Temporary interference
Mangalore,T0425,2023-01-07,8,-105,Low,1,Low traffic
Nellore,T0647,2024-06-08,0,-65,Low,0,Routine monitoring
Gwalior,T1128,2023-11-24,6,-97,Medium,0,Routine monitoring
Dehradun,T0982,2023-11-13,10,-85,Medium,0,Routine monitoring
Agra,T1346,2024-06-08,4,-88,Low,0,Normal operation
Jamnagar,T0376,2024-03-06,7,-68,Medium,2,Normal operation
Gaya,T1395,2024-03-12,22,-96,High,6,Temporary interference
Visakhapatnam,T1083,2023-06-10,11,-97,Medium,2,Moderate congestion
Tiruppur,T0886,2025-04-26,6,-93,Low,4,Routine monitoring
Firozabad,T0612,2025-11-05,4,-73,Medium,0,Low traffic
Siliguri,T1143,2023-09-12,21,-70,High,7,Handoff instability
Gorakhpur,T1177,2023-12-23,6,-96,Low,1,Normal operation
Indore,T1275,2023-10-07,2,-87,Low,2,Stable network
Jamnagar,T0577,2023-05-13,8,-104,Medium,0,Normal operation
Noida,T0250,2023-01-09,27,-76,High,11,Fiber outage
Guwahati,T0513,2025-07-03,4,-109,Low,0,Stable network
Jodhpur,T0706,2025-03-05,13,-96,Medium,5,Weather impact
Udaipur,T0100,2024-04-02,0,-66,Low,0,Normal operation
Aligarh,T0714,2024-11-21,8,-96,Low,2,Low traffic
Bikaner,T0279,2025-09-17,10,-100,Medium,0,Normal operation
Coimbatore,T0563,2025-04-04,18,-72,High,2,Moderate congestion
Durgapur,T0858,2025-01-06,30,-113,High,7,Weak signal area
Lucknow,T0434,2025-10-21,4,-70,Medium,1,Stable network
Agra,T1257,2024-04-12,11,-79,Medium,1,Weather impact
Coimbatore,T0358,2023-04-30,4,-89,Low,0,Low traffic
Surat,T1080,2025-12-23,3,-89,Low,2,Stable network
Amravati,T0459,2024-12-25,22,-82,High,5,Weather impact
Ulhasnagar,T0619,2025-02-28,9,-113,Low,1,Routine monitoring
Raipur,T0502,2024-04-16,24,-93,High,7,Handoff instability
Gwalior,T0862,2025-02-14,14,-83,Medium,5,Moderate congestion
Delhi,T0475,2025-01-23,0,-61,Low,0,Normal operation
Mumbai,T0291,2025-11-18,9,-112,Low,2,Low traffic
Guntur,T0171,2024-04-01,15,-71,High,4,Weather impact
Ahmedabad,T1150,2023-08-28,3,-114,Low,0,Low traffic
Ahmedabad,T1399,2023-04-01,5,-74,Low,2,Normal operation
Ambattur,T0993,2024-01-08,13,-62,Medium,5,Moderate congestion
Warangal,T1217,2025-08-27,2,-72,Low,1,Low traffic
Agra,T1105,2024-05-13,22,-110,High,4,Temporary interference
Vijayawada,T0388,2025-09-10,19,-104,Medium,5,Weather impact
Bhavnagar,T0156,2023-08-15,3,-94,Low,0,Stable network
Rajkot,T1082,2023-01-03,13,-106,Medium,3,Handoff instability
Kochi,T1462,2024-08-10,7,-113,Low,3,Low traffic
Varanasi,T0034,2025-05-05,5,-94,Low,2,Low traffic
Chandigarh,T0784,2023-01-07,16,-113,Medium,3,Handoff instability
Chandigarh,T1379,2023-06-15,21,-61,High,5,Temporary interference
Kalyan-Dombivli,T0522,2023-09-22,3,-83,Low,0,Normal operation
Kolkata,T0272,2025-10-18,32,-113,High,8,Fiber outage
Gwalior,T1287,2025-12-07,6,-74,Low,3,Stable network
Pune,T0979,2023-03-10,4,-89,Low,0,Routine monitoring
Amritsar,T1058,2024-05-14,19,-61,High,8,Weather impact
Navi Mumbai,T0493,2024-12-17,14,-106,Medium,2,Weather impact
Pimpri-Chinchwad,T0850,2025-12-23,16,-83,High,3,Weather impact
Howrah,T0885,2025-01-28,21,-74,High,8,Handoff instability
Kolkata,T1273,2023-09-28,6,-100,Low,1,Normal operation
Bhopal,T0217,2024-03-17,16,-102,Medium,3,Temporary interference
Bhavnagar,T1493,2025-03-01,16,-85,Medium,7,Weather impact
Prayagraj,T0345,2025-11-08,24,-101,High,7,Temporary interference
Jalandhar,T0080,2025-02-12,0,-83,Low,0,Normal operation
Srinagar,T1270,2024-03-12,8,-115,Medium,0,Normal operation
Bhilai,T0680,2023-10-18,12,-108,Low,4,Weather impact
Firozabad,T0565,2025-11-06,15,-82,Medium,4,Weather impact
Jamnagar,T1248,2025-03-12,0,-62,Low,1,Normal operation
Nagpur,T0457,2024-10-18,12,-94,Medium,3,Handoff instability
Howrah,T1396,2023-07-13,19,-74,High,7,Weather impact
Hubli-Dharwad,T0516,2025-12-15,18,-103,High,3,Weather impact
Belgaum,T1488,2025-02-28,7,-76,Low,2,Normal operation
Bhilai,T1452,2025-06-26,10,-102,Medium,2,Routine monitoring
Bikaner,T1072,2025-08-26,4,-73,Medium,1,Stable network
Visakhapatnam,T0024,2025-10-22,15,-65,Medium,6,Temporary interference
Hyderabad,T1058,2023-05-12,11,-96,Medium,0,Temporary interference
Nashik,T0615,2025-10-21,8,-87,Medium,0,Stable network
Visakhapatnam,T0761,2025-01-08,13,-105,Medium,2,Moderate congestion
Faridabad,T1181,2025-01-26,3,-109,Low,0,Low traffic
Nagpur,T1442,2023-12-01,5,-64,Medium,0,Routine monitoring
Malegaon,T0944,2023-03-11,26,-112,High,7,Network optimization required
Patna,T0923,2024-11-21,11,-109,Low,5,Moderate congestion
Durgapur,T1200,2023-06-17,8,-76,Medium,3,Low traffic
Ghaziabad,T0065,2024-07-07,7,-93,Medium,0,Low traffic
Dehradun,T0085,2025-01-17,7,-78,Low,3,Low traffic
Mangalore,T0625,2023-06-27,9,-97,Medium,0,Low traffic
Lucknow,T1366,2024-01-27,13,-104,Medium,0,Handoff instability
Chandigarh,T0733,2023-06-16,28,-103,High,8,Weak signal area
Amravati,T0374,2023-04-10,5,-78,Low,0,Stable network
Raipur,T0890,2023-08-03,30,-105,High,8,Weak signal area
Jalandhar,T1086,2023-03-04,8,-60,Medium,0,Normal operation
Malegaon,T1360,2024-04-16,0,-64,Low,1,Low traffic
Rajkot,T0708,2024-02-03,28,-106,High,7,Peak hour congestion
Bhilai,T1282,2024-05-14,28,-94,High,7,Weak signal area
Surat,T0932,2024-06-15,10,-68,Medium,4,Normal operation
Vijayawada,T1168,2024-05-06,4,-67,Medium,1,Normal operation
Meerut,T0775,2024-07-21,0,-84,Low,0,Low traffic
Lucknow,T0816,2023-10-02,5,-93,Low,3,Routine monitoring
Loni,T0147,2025-02-25,8,-86,Medium,0,Routine monitoring
Howrah,T0911,2023-02-23,11,-85,Medium,0,Temporary interference
Surat,T0511,2024-06-18,16,-111,Medium,3,Handoff instability
Guntur,T0387,2024-03-05,7,-92,Medium,0,Normal operation
Rajkot,T1475,2024-05-28,5,-66,Low,4,Stable network
Tiruppur,T0077,2025-02-28,29,-109,High,8,Fiber outage
Jammu,T0031,2025-05-26,4,-67,Medium,0,Normal operation
Firozabad,T1230,2024-10-11,6,-108,Low,3,Low traffic
Nanded,T1334,2023-10-04,7,-82,Low,2,Stable network
Bhavnagar,T0433,2023-10-15,5,-70,Medium,2,Normal operation
Jamnagar,T1112,2024-08-06,8,-90,Medium,0,Normal operation
Gwalior,T1224,2024-07-12,29,-84,High,9,Network optimization required
Kota,T1010,2025-12-26,5,-79,Low,0,Routine monitoring
Guwahati,T1386,2025-12-20,8,-105,Low,2,Low traffic
Ludhiana,T0043,2025-07-04,18,-115,Medium,4,Handoff instability
Madurai,T1393,2024-06-22,4,-77,Medium,0,Stable network
Gwalior,T0518,2023-05-27,23,-87,High,5,Temporary interference
Tiruchirappalli,T0232,2025-04-24,10,-75,Medium,5,Low traffic
Saharanpur,T0118,2024-06-29,9,-70,Medium,3,Routine monitoring
Ranchi,T0160,2024-07-13,5,-69,Medium,0,Low traffic
Gurugram,T0725,2024-12-04,29,-109,High,8,Weak signal area
Madurai,T0891,2025-08-02,3,-70,Medium,0,Stable network
Kota,T0135,2025-05-22,24,-100,High,5,Moderate congestion
Siliguri,T1449,2025-04-13,3,-100,Low,0,Normal operation
Siliguri,T1089,2024-08-09,20,-70,High,6,Temporary interference
Firozabad,T0981,2025-05-26,23,-98,High,6,Moderate congestion
Kolkata,T1300,2025-10-01,28,-88,High,8,Peak hour congestion
Delhi,T0769,2023-07-13,2,-86,Low,1,Low traffic
Gaya,T1316,2025-08-30,16,-95,Medium,5,Handoff instability
Kota,T0786,2025-06-23,13,-112,Medium,0,Handoff instability
Kochi,T1138,2023-02-03,0,-69,Low,0,Stable network
Jodhpur,T0568,2024-10-27,13,-62,Medium,4,Temporary interference
Loni,T0803,2023-10-22,6,-105,Low,0,Normal operation
Gurugram,T0160,2025-05-28,12,-108,Medium,3,Handoff instability
Agra,T1048,2024-07-08,2,-65,Low,0,Routine monitoring
Howrah,T0915,2025-01-27,15,-75,Medium,7,Weather impact
Kota,T0714,2025-10-18,8,-91,Low,5,Stable network
Bengaluru,T0771,2025-12-08,30,-112,High,8,Fiber outage
Lucknow,T1227,2024-01-17,26,-111,High,5,Peak hour congestion
Thane,T0811,2023-08-28,12,-111,Medium,0,Moderate congestion
Gaya,T0546,2025-04-30,7,-76,Medium,1,Stable network
Nellore,T0490,2025-05-25,12,-107,Medium,1,Temporary interference
Tirunelveli,T0462,2025-10-16,11,-104,Medium,3,Weather impact
Indore,T0187,2024-11-10,24,-94,High,5,Moderate congestion
Hubli-Dharwad,T1143,2024-12-18,24,-94,High,8,Handoff instability
Tiruchirappalli,T0464,2024-02-13,14,-103,Medium,1,Weather impact
Jalgaon,T0494,2025-10-05,25,-79,High,7,Temporary interference
Aligarh,T1268,2025-05-07,8,-105,Low,3,Low traffic
Bengaluru,T0106,2023-05-24,12,-106,Low,3,Temporary interference
Rourkela,T0353,2023-05-04,3,-75,Low,0,Normal operation
Navi Mumbai,T0570,2024-12-31,20,-84,High,4,Moderate congestion
Siliguri,T1098,2025-12-03,16,-109,Medium,2,Moderate congestion
Surat,T0877,2025-05-26,12,-89,Medium,4,Handoff instability
Gulbarga,T0369,2024-07-12,26,-108,High,6,Weak signal area
Meerut,T1011,2023-12-18,23,-70,High,7,Moderate congestion
Nanded,T0021,2025-11-12,7,-93,Low,1,Low traffic
Chennai,T0847,2023-02-07,7,-104,Medium,0,Stable network
Loni,T0607,2025-02-24,0,-72,Low,0,Routine monitoring
Indore,T0271,2023-04-23,6,-89,Low,3,Routine monitoring
Ulhasnagar,T1445,2025-06-21,5,-67,Low,3,Routine monitoring
Nellore,T0590,2023-10-28,29,-60,High,11,Weak signal area
Thane,T0787,2025-04-13,11,-101,Medium,2,Moderate congestion
Amravati,T0170,2024-08-29,6,-65,Low,3,Routine monitoring
Gaya,T1218,2023-08-29,25,-67,High,10,Weather impact
Erode,T1447,2025-01-16,1,-61,Low,0,Low traffic
Bhavnagar,T0431,2025-11-09,5,-64,Low,3,Normal operation
Ludhiana,T0735,2024-05-23,23,-81,High,8,Weather impact
Gwalior,T0692,2025-11-24,6,-91,Medium,0,Routine monitoring
Delhi,T0344,2023-08-08,15,-91,Medium,4,Moderate congestion
Nashik,T0162,2024-09-22,1,-63,Low,2,Low traffic
Kochi,T0628,2025-03-09,7,-113,Low,0,Low traffic
Nagpur,T0691,2025-08-23,8,-93,Medium,2,Stable network
Malegaon,T0080,2025-07-20,18,-97,High,3,Handoff instability
Varanasi,T1153,2025-11-12,1,-98,Low,0,Stable network
Bhavnagar,T0151,2023-11-04,5,-75,Low,1,Low traffic
Surat,T0835,2025-11-09,19,-105,Medium,5,Weather impact
Mumbai,T0809,2023-12-24,14,-83,Low,7,Handoff instability
Solapur,T1223,2025-08-24,26,-91,High,10,Peak hour congestion
Udaipur,T1312,2023-05-02,10,-108,Medium,0,Stable network
Rajkot,T0488,2025-04-04,8,-95,Medium,1,Routine monitoring
Jalgaon,T0105,2024-03-02,16,-81,Medium,8,Moderate congestion
Bhubaneswar,T0476,2025-07-09,33,-95,High,11,Fiber outage
Guntur,T0796,2023-03-18,3,-93,Low,2,Stable network
Mumbai,T1043,2025-03-23,8,-109,Low,0,Low traffic
Jaipur,T0082,2024-03-10,13,-98,Low,5,Moderate congestion
